id,speed
0,48.254333
1,47.80088
2,39.26097
3,30.03591
4,40.667377
5,27.078182
6,19.823761
7,49.192375
8,48.28886
9,31.247032
10,31.472836
11,25.275751
12,26.721277
13,27.491858
14,28.378866
15,40.512287
16,44.29837
17,47.802223
18,49.62402
19,48.10475
20,46.53553
21,44.6386
22,18.326029
23,26.469584
24,23.606909
25,17.346615
26,17.674688
27,16.497555
28,14.5217495
29,11.201732
30,23.92522
31,46.502293
32,48.971745
33,27.740355
34,26.7664
35,23.956665
36,21.121058
37,21.64053
38,45.273968
39,40.21678
40,45.228436
41,47.614983
42,48.62705
43,44.620834
44,17.892763
45,17.895588
46,17.7094
47,9.534812
48,44.547504
49,50.022594
50,48.638435
51,28.5982
52,20.836714
53,19.427511
54,17.461807
55,17.103373
56,14.322474
57,15.659948
58,29.39836
59,34.972782
60,42.761333
61,41.65919
62,41.228725
63,42.688255
64,44.66601
65,48.05824
66,47.81173
67,46.541
68,44.492275
69,26.524544
70,25.123384
71,18.104755
72,14.810462
73,15.746931
74,12.203209
75,8.28772
76,42.3068
77,38.777386
78,43.079563
79,47.157963
80,13.77864
81,14.472652
82,19.06709
83,16.06126
84,16.987938
85,12.803799
86,20.041248
87,34.72299
88,45.205135
89,41.302387
90,48.147465
91,46.228664
92,45.080315
93,43.87557
94,26.012005
95,15.161453
96,24.396648
97,11.972024
98,11.437144
99,20.998775
100,41.94351
101,47.627476
102,13.359188
103,16.24149
104,14.679299
105,43.144745
106,34.83119
107,49.58775
108,44.615803
109,12.922168
110,11.587009
111,10.375639
112,21.711958
113,34.31884
114,35.92831
115,47.566814
116,48.067806
117,39.800022
118,28.497152
119,23.740929
120,16.83079
121,14.81776
122,35.670937
123,46.401707
124,45.881454
125,42.988636
126,42.6041
127,40.39974
128,43.261036
129,30.548256
130,48.146477
131,47.535385
132,46.867424
133,25.235737
134,21.690807
135,24.630253
136,40.54423
137,46.642365
138,49.651752
139,47.848896
140,47.027634
141,45.112247
142,26.041183
143,15.518871
144,19.88356
145,18.645468
146,17.839615
147,50.14295
148,50.9653
149,48.4686
150,47.995853
151,15.84312
152,15.851285
153,15.620058
